,day,hour,waves_size,wind_speed,wind_direction
163,Samedi 17 Janvier,20:00,2.8 - 4.2,\n30\n\n,Orientation vent Sud Ouest
164,Samedi 17 Janvier,21:00,2.8 - 4.2,\n31\n\n,Orientation vent Sud Ouest
165,Samedi 17 Janvier,22:00,2.7 - 4.1,\n31\n\n,Orientation vent Sud
166,Samedi 17 Janvier,23:00,2.7 - 4.1,\n31\n\n,Orientation vent Sud
167,Dimanche 11 Janvier,00:00,N/A,N/A,N/A
168,Lundi 12 Janvier,00:00,N/A,N/A,N/A
169,Mardi 13 Janvier,00:00,N/A,N/A,N/A
170,Mercredi 14 Janvier,00:00,N/A,N/A,N/A
171,Jeudi 15 Janvier,00:00,N/A,N/A,N/A
172,Vendredi 16 Janvier,00:00,N/A,N/A,N/A
173,Samedi 17 Janvier,00:00,N/A,N/A,N/A
